timestamp,inputs,prize_name,prize_type,prize_rarity
2025-07-24T14:05:52.013136,Ammunition +1,Robe of Useful Items,Wondrous item,uncommon
2025-07-24T14:06:02.377910,Armor +1,Wand of Fireballs,Wand,rare
2025-07-24T14:14:19.677636,Alchemy Jug,Goggles of Night,Wondrous item,uncommon
2025-07-24T14:14:35.760025,Alchemy Jug|Ammunition +1,Daern's Instant Fortress,Wondrous item,rare
2025-07-24T14:20:46.942654,Adamantine Armor,Amulet of Proof against Detection and Location,Wondrous item,uncommon
2025-07-24T14:24:23.625434,Ammunition +1,Adamantine Armor,Armor,uncommon
2025-07-24T14:28:38.803401,Ammunition +1,Potion of Resistance,Potion,uncommon
2025-07-24T14:52:12.917885,Ammunition +1,Pipes of Haunting,Wondrous item,uncommon
2025-07-24T19:16:04.971969,Ammunition +1,Potion of Water Breathing,Potion,uncommon
2025-07-24T19:17:23.536781,Amulet of Health,Bead of Force,Wondrous item,rare
2025-07-24T19:17:30.853964,Amulet of Health,Daern's Instant Fortress,Wondrous item,rare
2025-07-24T19:20:53.000919,Amulet of Health,Vicious Weapon,Weapon,rare
2025-07-24T19:25:46.346164,Animated Shield,Demon Armor,Armor,very rare
2025-07-24T20:43:21.332963,Bag of Holding,Gloves of Thievery,Wondrous item,uncommon
2025-07-24T21:10:47.552579,Alchemy Jug,Gloves of Thievery,Wondrous item,uncommon
2025-07-24T21:18:02.577464,Animated Shield|Bag of Beans,Amulet of the Planes,Wondrous item,very rare
2025-07-24T21:18:40.413286,Animated Shield|Bag of Beans,Nine Lives Stealer,Weapon,very rare
2025-07-24T21:31:00.615998,Apparatus of Kwalish,Ring of Invisibility,Ring,legendary
2025-07-24T21:32:30.432128,Potion of Flying,Carpet of Flying,Wondrous item,very rare
2025-07-24T21:58:59.542160,Apparatus of Kwalish,Deck of Many Things,Wondrous item,legendary
2025-07-24T21:59:07.492917,Apparatus of Kwalish,Ring of Three Wishes,Ring,legendary
2025-07-24T21:59:32.208953,Apparatus of Kwalish,Apparatus of Kwalish,Wondrous item,legendary
2025-07-24T22:00:10.076197,Amulet of the Planes,Dwarven Plate,Armor,very rare
2025-07-24T22:00:37.860105,Apparatus of Kwalish,Ring of Invisibility,Ring,legendary
2025-07-24T22:00:41.658476,Apparatus of Kwalish,Hammer of Thunderbolts,Weapon,legendary
2025-07-24T22:01:35.660330,Amulet of Health,Ring of Poison Resistance,Ring,rare
2025-07-24T22:15:43.901929,Alchemy Jug,Lantern of Revealing,Wondrous item,uncommon
2025-07-24T22:15:54.483708,Apparatus of Kwalish,Scarab of Protection,Wondrous item,legendary
2025-07-24T22:35:52.779213,Ammunition +1,Dust of Dryness,Wondrous item,uncommon
2025-07-24T22:36:07.361282,Armor of Invulnerability|Dancing Sword,Efreeti Chain,Armor,legendary
2025-07-24T22:47:51.771469,Amulet of Health|Sword of Life Stealing,Horseshoes of Speed,Wondrous item,rare
2025-07-24T22:48:01.837903,Animated Shield,Manual of Golems,Wondrous item,very rare
2025-07-24T22:48:13.804297,Apparatus of Kwalish,Scarab of Protection,Wondrous item,legendary
2025-07-25T22:47:18.167206,Ammunition +1,Weapon,uncommon,Immovable Rod,Rod,uncommon
2025-07-25T22:47:26.234264,Amulet of the Planes,Wondrous item,very rare,Horseshoes of a Zephyr,Wondrous item,very rare
2025-07-29T11:47:35.519543,+1 Arcane Grimoire,wondrous item,uncommon,Potion of Greater Healing,potion,uncommon
